Markers
Date/time,Time (UNIX),Marker,
2024-01-08T13:20:33.543Z,1704720033543,start,
2024-01-08T13:20:43.539Z,1704720043539,End,

Polar Sense BA144D21: start time=536595162183.307,Excel datetime,42736.59215489939,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,PPGsum,Time,PPGsum_f,Time,PPG_f_reduced,Time,PPGrate,Time,PPGacceleration,Time,PPGrate_reduced,Time,PPGpeak,Time,PPGstart,Time,PPGend,Time,acc_x,Time,acc_y,Time,acc_z,Time,acc_v,Time,acc_v_reduced,,
0,-3282,0,-3282,0.535,-243,0,NaN,NaN,NaN,0.535,616,0.296,-282,0.284,-35,0.33,18,1.879,722,1.879,-85,1.879,-731,1.879,12887,2.677,12941,,
0.006,-3272,0.006,-3272,0.535,-243,0.006,176,0,NaN,0.535,616,0.734,-370,0.717,123,0.751,18,1.881,721,1.881,-82,1.881,-731,1.881,12875,2.677,12941,,
0.011,-3252,0.011,-3252,0.552,-170,0.011,352,0.006,NaN,0.54,475,1.264,-123,1.253,-18,1.27,-18,1.883,721,1.883,-82,1.883,-733,1.883,12893,3.052,12899,,
0.017,-3132,0.017,-3132,0.563,-131,0.017,2112,0.011,NaN,0.546,405,1.737,-229,1.731,-35,1.777,-18,1.886,721,1.886,-82,1.886,-734,1.886,12902,3.061,12802,,
0.023,-3080,0.023,-3080,0.587,-108,0.023,915,0.017,3252,0.552,405,4.46,-915,4.369,53,4.563,-158,1.888,722,1.888,-80,1.888,-735,1.888,12917,3.098,13019,,
0.028,-2893,0.028,-2943,0.598,-111,0.028,2411,0.023,9060,0.558,370,5.833,-845,5.765,-141,5.936,-53,1.891,721,1.891,-79,1.891,-734,1.891,12899,3.134,12913,,
0.034,-2814,0.034,-2856,0.604,-104,0.034,1531,0.028,-2556,0.563,317,7.11,-1162,7.024,-229,7.206,-106,1.893,719,1.893,-79,1.893,-736,1.893,12899,3.174,13112,,
0.04,-2816,0.04,-2771,0.621,-47,0.04,1496,0.034,2556,0.57,88,7.787,-968,7.753,-123,7.844,-123,1.896,721,1.896,-77,1.896,-735,1.896,12906,3.22,13115,,
0.045,-2664,0.045,-2688,0.632,-52,0.045,1461,0.04,-4180,0.575,70,8.568,-1021,8.483,-176,8.625,-176,1.898,721,1.898,-75,1.898,-732,1.898,12877,3.244,12966,,
0.051,-2639,0.051,-2602,0.644,-45,0.051,1514,0.045,-75,0.581,123,9.668,-1267,9.593,-194,9.759,-246,1.9,720,1.9,-72,1.9,-733,1.9,12875,3.28,13059,,
0.057,-2532,0.057,-2513,0.649,-36,0.057,1566,0.051,308,0.587,123,10.362,-1091,10.306,-123,10.443,-141,1.903,723,1.903,-72,1.903,-729,1.903,12866,3.295,13207,,
0.063,-2374,0.063,-2426,0.666,6,0.063,1531,0.057,308,0.592,-53,11.309,-1426,11.228,-194,11.354,-158,1.905,723,1.905,-72,1.905,-733,1.905,12901,3.343,13112,,
0.068,-2312,0.068,-2348,0.678,13,0.068,1373,0.063,-620,0.598,0,12.813,-950,12.79,-88,12.909,-106,1.908,723,1.908,-74,1.908,-731,1.908,12885,3.386,13252,,
0.074,-2271,0.074,-2274,0.683,23,0.074,1302,0.068,-1162,0.604,123,13.735,-1214,13.695,-211,13.86,-123,1.91,723,1.91,-72,1.91,-731,1.91,12883,3.396,13150,,
0.08,-2204,0.08,-2207,0.7,119,0.08,1179,0.074,-1549,0.609,317,14.362,-986,14.305,-70,14.39,-141,1.912,723,1.912,-73,1.912,-730,1.912,12875,3.444,13168,,
0.085,-2154,0.085,-2142,0.706,147,0.085,1144,0.08,-1008,0.615,387,15.541,-1074,15.456,-176,15.609,-194,1.915,722,1.915,-73,1.915,-730,1.915,12867,3.444,13168,,
0.091,-2045,0.091,-2077,0.712,167,0.091,1144,0.085,-695,0.621,299,17.136,-1461,17.027,-246,17.238,-246,1.917,723,1.917,-72,1.917,-729,1.917,12866,3.456,13052,,
0.097,-2083,0.097,-2010,0.717,174,0.097,1179,0.091,0,0.626,-53,18.059,-1144,18.008,-158,18.167,-211,1.92,722,1.92,-72,1.92,-728,1.92,12848,3.45,12845,,
0.102,-1918,0.102,-1945,0.723,169,0.102,1144,0.097,0,0.632,-35,18.753,-1144,18.645,-70,18.805,-211,1.922,723,1.922,-73,1.922,-727,1.922,12849,3.475,12902,,
0.108,-1833,0.108,-1879,0.734,132,0.108,1162,0.102,79,0.638,35,19.42,-1109,19.363,-194,19.523,-211,1.924,722,1.924,-70,1.924,-726,1.924,12829,3.518,12625,,
0.114,-1837,0.114,-1818,0.74,121,0.114,1074,0.108,-462,0.644,88,20.053,-1038,20.001,-176,20.104,-158,1.927,721,1.927,-69,1.927,-724,1.927,12801,3.568,12793,,
0.119,-1695,0.119,-1767,0.746,115,0.119,898,0.114,-1082,0.649,158,20.662,-968,20.583,-158,20.747,-141,1.929,724,1.929,-68,1.929,-726,1.929,12844,3.624,12647,,
0.125,-1739,0.125,-1718,0.751,116,0.125,862,0.119,-1320,0.655,299,21.277,-1162,21.203,-229,21.385,88,1.932,724,1.932,-66,1.932,-724,1.932,12825,3.681,12791,,
0.131,-1703,0.131,-1669,0.757,132,0.131,862,0.125,-933,0.666,194,21.955,-1232,21.853,-194,22.012,-194,1.934,722,1.934,-67,1.934,-723,1.934,12800,3.691,12650,,
0.136,-1635,0.136,-1614,0.78,257,0.136,968,0.131,308,0.672,88,22.832,-1162,22.724,-53,22.866,-194,1.936,723,1.936,-65,1.936,-721,1.936,12789,3.739,12480,,
